,MMSI,hasProblem,hasLocationSpoofing,hasIdentitySpoofing,CountOfClusters
152,692fbe77-4d27-4867-88f5-11a6d3a3b350,False,False,False,2
153,07c2baba-73f7-4ac1-a614-dc20f69ab848,False,False,False,-1
154,9b933d8b-613a-4122-849e-8edcd4f87872,False,False,False,-1
155,218271e7-0682-400e-8e88-730c5e881916,False,False,False,15
156,6c9c58fc-a582-485d-9583-a46365e8bda7,False,False,False,17
157,c0f15147-1bb8-4c32-901a-4bb83b2db1b3,False,False,False,-1
158,bc811245-96e5-4e09-8352-99ad2c6bcee6,False,False,False,12
159,f12275f9-fd29-497f-b300-91106a0ce138,False,False,False,-1
160,8a952e10-4340-43c7-a459-0f06c4d605fa,False,False,False,-1
161,fd50f580-23f7-445f-aa1e-117a7422e3d9,False,False,False,-1
162,d1280319-d85d-456d-b502-85f26dc2f556,False,False,False,1
163,babe1415-7b15-498d-9fae-7c8c554b11e4,False,False,False,9
164,a295a927-6562-4188-885b-31f86cda126d,False,False,False,-1
165,09c2a1ce-10d8-4783-96ae-5182cab9ca1c,False,False,False,-1
166,57873f3a-0375-459e-a6c0-9cd5f9bb0096,False,False,False,7
167,9a034630-bad7-4f9a-b5e4-eee75b8da51b,False,False,False,13
168,fb3b899a-5a70-4542-8527-682dffa485c9,False,False,False,2
169,bfe9c7f3-fe5d-43c5-b62b-f1c48a99116b,False,False,False,-1
170,0b93fa5e-cba6-4b35-8efc-a3dfed0f4660,False,False,False,5
171,f42d8a0c-3fc6-49a3-91dc-cc6c98348cb5,False,False,False,-1
172,cd2ac510-7359-48cc-9fcf-8f0344901460,False,False,False,5
173,3e7697c9-1d54-46b1-b293-a7fd5e0f1d8b,False,False,False,5
174,3265e660-9a97-4c65-8297-8ed85b75edd1,False,False,False,-1
175,59a617ae-1b57-4415-a543-7702d8a46502,False,False,False,13
176,bc9adc24-0fb4-4cbd-b5a4-5f7b3b500252,False,False,False,-1
177,fcbe7228-865d-4c2a-830c-4ff089934b80,False,False,False,-1
178,8464c7ca-5a2f-4900-9cad-08dca812735e,False,False,False,-1
179,ab620580-b1ec-4301-887b-ed35c05b9218,True,True,False,36
180,72aeeab9-4fad-49ac-8c2c-b72afac782df,False,False,False,11
181,420bed91-8df8-4af8-9754-3df1d1c105b0,False,False,False,11
182,d9df3d02-6afb-4ed3-b5dc-98bcd5efaecf,False,False,False,6
183,1ba36007-2caa-46fc-a6ba-f87b5a20c903,False,False,False,-1
184,91d76356-46a7-46a4-93bd-22fc46eaa9e0,False,False,False,9
185,8621674d-6377-4cb4-b2e5-6ab53b4e512f,False,False,False,-1
186,89bc8c00-30ac-46f0-a169-9828b59b27c1,False,False,False,10
187,733ad2c5-abf4-43f1-883b-90a3a306cdaf,False,False,False,6
188,7b5ea741-3a8f-4475-afbc-d73e61d3c2ab,False,False,False,-1
189,4294d708-509d-42c6-b1bf-d80f1605bcfd,False,False,False,-1
190,059d422b-9da1-4be4-836b-dca71e44ff24,False,False,False,12
191,75c42da3-6653-4f53-84fd-052954c3aada,False,False,False,11
192,4ed3db69-5ba6-4e42-a25f-8100c5b06202,False,False,False,3
193,f06d8444-f60d-4826-bca0-fa9c393753ea,False,False,False,1
194,1153da34-9fbe-4a2d-b1d4-89365304ff9c,False,False,False,-1
195,82c1b480-53a7-462c-b901-ab368e2ba0f8,False,False,False,-1
196,c9ce5521-b771-477c-ad0f-7bd152c11841,False,False,False,11
197,002f45f4-cadf-492d-b39b-c7af75c4e044,False,False,False,2
198,cc0a125c-06a4-4fec-8d96-b343c6819398,False,False,False,7
199,5a933ef4-013f-4640-a7f5-f2c92ef8c4e0,False,False,False,8
200,498ee5e9-c8d1-4311-be95-c835a01b286d,False,False,False,-1
201,0685dab0-a144-468f-a510-6e0849873e18,False,False,False,-1
202,ad52057e-5512-4823-961d-031a3edee485,False,False,False,5
203,1830a4ee-5c21-48c1-b852-8f4bdd18ea7a,False,False,False,18
204,4de0103b-260f-4cea-8b00-d2aed4d97d1b,False,False,False,1
205,08a13119-87ec-4d26-9021-e54b0a37ae20,False,False,False,-1
206,f3a31ec9-94d4-4c5f-bffa-88d4ab361b09,False,False,False,-1
207,3a4c702c-a490-445f-97b0-6c6e8c27f7da,False,False,False,6
208,8e1f8a76-edde-4b96-92f6-95def88d4d93,False,False,False,9
209,952f6eb8-dbab-4ce2-93e6-41ba414fad7f,False,False,False,17
210,c3d4253f-a28b-4199-9ac2-bf48d0922df5,False,False,False,-1
211,da170f7b-c091-400f-90d4-d75e4ed908b7,False,False,False,5
212,0d9709bf-2c7c-4a2b-9d39-b2bc73843fa6,False,False,False,1
213,bd0f3c9c-c02a-4a3d-a8b7-922730c6506c,False,False,False,-1
214,65c56dba-6616-4974-8bea-b6efc2a3f5ca,False,False,False,5
215,6983a7a2-3b7e-4050-aa18-9e4822378f3a,False,False,False,-1
216,5d0ac6e1-5ec3-4951-bc15-b25ac7ac97fd,False,False,False,15
217,a384dea1-14a5-4a11-bc1b-6a59f49e42ec,False,False,False,-1
218,7206f530-1468-44f9-a32a-27639e2cedd1,False,False,False,-1
219,948f6301-0810-4f83-9640-43ac0cc24fe9,False,False,False,-1
220,34faf686-eaa5-446f-a9f4-0a3e3874c3da,False,False,False,3
221,5a1a8cba-3d65-4bb4-a142-34cfe1fbc2c2,False,False,False,-1
222,501f33c1-768d-43f7-8f95-4d60b822caf1,False,False,False,-1
223,015d584d-d67a-45ec-a2c4-8af3af78d981,False,False,False,3
224,1a3a06e9-d5f0-4781-9093-82849dbae654,False,False,False,11
225,1a683a14-7cbe-44ff-bfea-25334969b7d2,False,False,False,7
226,18b58951-bac7-4980-9840-01b6216c6ad9,False,False,False,4
227,744375d4-251a-4e82-a7c5-d1b99c3363ff,False,False,False,-1
228,71dd47ad-32bd-4449-81c4-7ed83147a39c,False,False,False,11
229,e0e4ae20-6896-45b3-b79e-cb63a835ca20,False,False,False,-1
230,161189c5-1ebb-4d7c-b812-575b6944ef4a,False,False,False,9
231,49e69bb9-1a08-43f9-93fe-2ac2979cb42a,False,False,False,2
232,20d6fc00-3644-48a2-ba80-3c84449bae8c,False,False,False,6
233,7e1e5bcf-f706-45b0-bc32-8d0326fde115,False,False,False,29
234,8075d74a-493e-445a-9e15-d7a6e1efd73e,False,False,False,-1
235,8a55c638-d2a5-4356-a1bb-eb25481d079b,False,False,False,8
236,f684ee0d-4ef2-406b-85fe-4bca34acedb1,False,False,False,-1
237,638cde5e-ed51-42c4-b0e3-48080c7c26e9,False,False,False,5
238,fd4cb1dd-90d5-45a3-a894-78b240e61bff,False,False,False,10
239,669f1ef0-c044-4cc1-a8b0-437232db3399,False,False,False,-1
240,690696ee-8585-4b7a-b0a3-77c4cd5db252,False,False,False,3
241,03a18119-15a5-471d-9cc6-b3f10dbe6676,False,False,False,-1
242,34e789d2-b9b4-4a09-8bfd-06943f3e86b8,False,False,False,-1
243,cf1afa3e-cb85-4189-98a1-d7032ff40dfc,False,False,False,8
244,c671bcf6-2fa2-4e2f-b536-1995122de063,True,True,False,52
245,8b72f7b6-03d9-4241-8310-b0d4616a976d,False,False,False,-1
246,5d44a5c5-d17a-48a3-88ef-af7323f53106,False,False,False,-1
247,6355d97e-0c5e-4ff0-95d7-02c7061677c5,False,False,False,-1
248,8199af92-fc1c-4ff4-b265-67ac5ffe2625,False,False,False,4
249,90b6df72-cb5b-4b85-b60e-ec3edcc84d69,False,False,False,-1
250,a6731df9-c5aa-4c92-b3ec-a10bdfa42488,False,False,False,-1
251,769f7ede-9f79-423f-bb3f-b15babcabed8,False,False,False,6
252,abafba2d-1783-4c63-a77c-7dce48ab5938,False,False,False,-1
253,10807db4-2c77-4a7a-a418-0af8f0d672d8,False,False,False,16
254,0b0d795d-f3d2-499d-b734-d4310e3a4c22,False,False,False,-1
255,ea14f7da-7f0e-4693-9119-737a9d89d314,False,False,False,-1
256,1fe00389-be92-4281-bc0e-7d8e2fb7fe06,False,False,False,21
257,37254176-7a2e-40f2-ac5b-48c87fdfd156,False,False,False,-1
258,6944559e-7450-4933-ac56-ad18d85ac400,False,False,False,12
259,3d67bd4b-70e9-402e-befc-a43e111fd84c,False,False,False,2
260,4948e231-d715-4904-b88b-c7d59e19e3c6,False,False,False,6
261,6fa18f45-da38-4156-82d1-33489bdbc0a1,False,False,False,-1
262,0026f88e-371d-45f2-ae72-557225333f01,False,False,False,16
263,85bbcff7-4e81-44ee-a181-d730f3070000,False,False,False,-1
264,f284ca36-8671-43fc-b435-e7ed88b6187d,False,False,False,-1
